Brown Stained Glass,mcl_core:glass_brown
nil,mcl_fences:warped_fence_gate_open
Warped Fence Gate,mcl_fences:warped_fence_gate
Warped Fence,mcl_fences:warped_fence
Warped Wood,mcl_trees:bark_stripped_warped
Preview Banner,mcl_banners:banner_preview_curly_border_silver
Preview Banner,mcl_banners:banner_preview_diagonal_left_light_blue
Warped Log,mcl_trees:stripped_warped
Warped Bark,mcl_trees:bark_warped
Warped Planks,mcl_trees:wood_warped
Warped Log,mcl_trees:tree_warped
Preview Banner,mcl_banners:banner_preview_diagonal_up_left_silver
Prismarine,mcl_ocean:prismarine
nil,mesecons_button:button_crimson_on
Crimson Button,mesecons_button:button_crimson_off
nil,mcl_panes:pane_grey
Prismarine Bricks,mcl_ocean:prismarine_brick
nil,mcl_panes:pane_yellow
Preview Banner,mcl_banners:banner_preview_gradient_light_blue
Dark Prismarine,mcl_ocean:prismarine_dark
Crimson Pressure Plate,mesecons_pressureplates:pressure_plate_crimson_off
nil,mesecons_pressureplates:pressure_plate_crimson_on
Crimson Sign,mcl_signs:wall_sign_crimson
Preview Banner,mcl_banners:banner_preview_diagonal_right_silver
Pink Glass Pane,mcl_panes:pane_pink_flat
Green Glass Pane,mcl_panes:pane_green_flat
Crimson Bark Slab,mcl_stairs:slab_crimson_bark_double
Crimson Bark Slab,mcl_stairs:slab_crimson_bark
Crimson Slab,mcl_stairs:slab_crimson_double
Preview Banner,mcl_banners:banner_preview_diagonal_left_silver
Preview Banner,mcl_banners:banner_preview_half_horizontal_bottom_light_blue
Crimson Bark Stairs,mcl_stairs:stair_crimson_bark_inner
Cookie,mcl_farming:cookie
Prismarine Shard,mcl_ocean:prismarine_shard
nil,mcl_doors:door_crimson_t_2
Preview Banner,mcl_banners:banner_preview_flower_silver
Preview Banner,mcl_banners:banner_preview_half_horizontal_light_blue
nil,mcl_doors:door_crimson_b_1
Crimson Door,mcl_doors:door_crimson
nil,mcl_fences:crimson_fence_gate_open
Crimson Fence Gate,mcl_fences:crimson_fence_gate
nil,mcl_panes:pane_pink
Preview Banner,mcl_banners:banner_preview_half_vertical_light_blue
Crimson Fence,mcl_fences:crimson_fence
Crimson Wood,mcl_trees:bark_stripped_crimson
Preview Banner,mcl_banners:banner_preview_diagonal_right_red
Preview Banner,mcl_banners:banner_preview_flow_cyan
Preview Banner,mcl_banners:banner_preview_gradient_up_silver
Prismarine Stairs,mcl_stairs:stair_prismarine
Magenta Glass Pane,mcl_panes:pane_magenta_flat
Prismarine Stairs,mcl_stairs:stair_prismarine_outer
Prismarine Stairs,mcl_stairs:stair_prismarine_inner
Preview Banner,mcl_banners:banner_preview_creeper_red
Preview Banner,mcl_banners:banner_preview_half_horizontal_bottom_silver
Preview Banner,mcl_banners:banner_preview_thing_light_blue
Crimson Log,mcl_trees:tree_crimson
Preview Banner,mcl_banners:banner_preview_diagonal_up_right_green
Prismarine Slab,mcl_stairs:slab_prismarine
Prismarine Slab,mcl_stairs:slab_prismarine_top
Prismarine Slab,mcl_stairs:slab_prismarine_double
Preview Banner,mcl_banners:banner_preview_rhombus_light_blue,mcl_cake:cake_2
Preview Banner,mcl_banners:banner_preview_diagonal_up_left_green,mcl_cake:cake_4
Preview Banner,mcl_banners:banner_preview_cross_green
Preview Banner,mcl_banners:banner_preview_half_vertical_silver
nil,mcl_panes:pane_magenta
Zombie Horse,mobs_mc:zombie_horse
Preview Banner,mcl_banners:banner_preview_creeper_green
Mule,mobs_mc:mule
Prismarine Brick Stairs,mcl_stairs:stair_prismarine_brick
Preview Banner,mcl_banners:banner_preview_half_vertical_right_silver
Prismarine Brick Stairs,mcl_stairs:stair_prismarine_brick_outer
Prismarine Brick Stairs,mcl_stairs:stair_prismarine_brick_inner
Orange Glass Pane,mcl_panes:pane_orange_flat
Cake,mcl_cake:cake
Silverfish,mobs_mc:silverfish
Preview Banner,mcl_banners:banner_preview_thing_silver
Preview Banner,mcl_banners:banner_preview_square_bottom_left_light_blue
Prismarine Brick Slab,mcl_stairs:slab_prismarine_brick
nil,mcl_mushrooms:red_mushroom_block_cap_001101
Prismarine Brick Slab,mcl_stairs:slab_prismarine_brick_double
Sweet Berry Bush (Stage 3),mcl_farming:sweet_berry_bush_3
Preview Banner,mcl_banners:banner_preview_rhombus_silver
Sweet Berry Bush (Stage 2),mcl_farming:sweet_berry_bush_2
nil,mcl_mushrooms:red_mushroom_block_cap_001110
Sweet Berry Bush (Stage 1),mcl_farming:sweet_berry_bush_1
Raw Beef,mcl_mobitems:beef
A place to plant grain crops,mcl_villages:crop_grain_3
Preview Banner,mcl_banners:banner_preview_skull_silver
nil,mcl_mushrooms:red_mushroom_block_cap_001111
Oak Log,mcl_trees:stripped_oak
Dark Prismarine Stairs,mcl_stairs:stair_prismarine_dark
Beetroot Soup,mcl_farming:beetroot_soup
nil,mcl_mushrooms:red_mushroom_block_cap_010000
Dark Prismarine Stairs,mcl_stairs:stair_prismarine_dark_inner
Beetroot,mcl_farming:beetroot_item
Mature Beetroot Plant,mcl_farming:beetroot
nil,mcl_mushrooms:red_mushroom_block_cap_010001
Blue Glass Pane,mcl_panes:pane_blue_flat,mcl_farming:beetroot_1
Oak Wood,mcl_trees:bark_stripped_oak
Dark Prismarine Slab,mcl_stairs:slab_prismarine_dark_double
Raw Porkchop,mcl_mobitems:porkchop
Polished Blackstone Stairs,mcl_stairs:stair_blackstone_polished
Cobblestone Stairs,mcl_stairs:stair_cobble_inner
Polished Blackstone Stairs,mcl_stairs:stair_blackstone_polished_inner
nil,mcl_mushrooms:red_mushroom_block_cap_010011
Polished Blackstone Stairs,mcl_stairs:stair_blackstone_polished_outer
Mature Potato Plant,mcl_farming:potato
Premature Potato Plant (Stage 7),mcl_farming:potato_7
Cobblestone Slab,mcl_stairs:slab_cobble
Cobblestone Slab,mcl_stairs:slab_cobble_top
Cobblestone Slab,mcl_stairs:slab_cobble_double
Premature Potato Plant (Stage 6),mcl_farming:potato_6
nil,mcl_mushrooms:red_mushroom_block_cap_010101
nil,mcl_panes:pane_blue
Premature Potato Plant (Stage 4),mcl_farming:potato_4
Golden Carrot,mcl_farming:carrot_item_gold
nil,mcl_mushrooms:red_mushroom_block_cap_010110
Milk,mcl_mobitems:milk_bucket
Carrot,mcl_farming:carrot_item
Archer Pottery Sherd,mcl_pottery_sherds:archer
Mature Carrot Plant,mcl_farming:carrot
Mossy Cobblestone Stairs,mcl_stairs:stair_mossycobble
Preview Banner,mcl_banners:banner_preview_circle_green
Oak Leaves,mcl_trees:leaves_oak_orphan
Mossy Cobblestone Stairs,mcl_stairs:stair_mossycobble_inner
Arms Up Pottery Sherd,mcl_pottery_sherds:arms_up
nil,mcl_farming:pumpkintige_linked_b
Music Disc,mcl_jukebox:record_blocks
nil,mcl_mushrooms:red_mushroom_block_cap_011001
Premature Carrot Plant (Stage 4),mcl_farming:carrot_4
Mossy Cobblestone Slab,mcl_stairs:slab_mossycobble
Mossy Cobblestone Slab,mcl_stairs:slab_mossycobble_top
Mossy Cobblestone Slab,mcl_stairs:slab_mossycobble_double
Premature Carrot Plant (Stage 3),mcl_farming:carrot_3
Premature Carrot Plant (Stage 2),mcl_farming:carrot_2
Brewer Pottery Sherd,mcl_pottery_sherds:brewer
nil,mcl_mushrooms:red_mushroom_block_cap_011011
Premature Carrot Plant (Stage 1),mcl_farming:carrot_1
nil,mcl_panes:pane_green
Melon Slice,mcl_farming:melon_item
nil,mcl_mushrooms:red_mushroom_block_cap_011100
Preview Banner,mcl_banners:banner_preview_straight_cross_magenta
Melon,mcl_farming:melon
Brick Stairs,mcl_stairs:stair_brick_block
Blaze Powder,mcl_mobitems:blaze_powder
Brick Stairs,mcl_stairs:stair_brick_block_outer
Red Glass Pane,mcl_panes:pane_red_flat
nil,mcl_mushrooms:red_mushroom_block_cap_011110
Magma Cream,mcl_mobitems:magma_cream
Beehive,mcl_beehives:beehive_5
Explorer Pottery Sherd,mcl_pottery_sherds:explorer
nil,mcl_mushrooms:red_mushroom_block_cap_011111
Brick Slab,mcl_stairs:slab_brick_block
Brick Slab,mcl_stairs:slab_brick_block_top
Brick Slab,mcl_stairs:slab_brick_block_double
Friend Pottery Sherd,mcl_pottery_sherds:friend
Preview Banner,mcl_banners:banner_preview_thing_cyan
nil,mcl_mushrooms:red_mushroom_block_cap_100001
Blackstone Slab,mcl_stairs:slab_blackstone_double
Premature Melon Stem (Stage 6),mcl_farming:melontige_6
nil,mcl_mushrooms:red_mushroom_block_cap_100010
Preview Banner,mcl_banners:banner_preview_half_horizontal_magenta
Preview Banner,mcl_banners:banner_preview_rhombus_cyan
nil,mcl_panes:pane_red
nil,mcl_mushrooms:red_mushroom_block_cap_100011
Scrape Pottery Sherd,mcl_pottery_sherds:scrape
Preview Banner,mcl_banners:banner_preview_square_bottom_right_magenta
Sandstone Stairs,mcl_stairs:stair_sandstone_outer
Sandstone Stairs,mcl_stairs:stair_sandstone_inner
Preview Banner,mcl_banners:banner_preview_square_top_right_magenta
Heart Pottery Sherd,mcl_pottery_sherds:heart
nil,mcl_mushrooms:red_mushroom_block_cap_100101
Bee Nest,mcl_beehives:bee_nest_5
Premature Melon Stem (Stage 2),mcl_farming:melontige_2
nil,mcl_mushrooms:red_mushroom_block_cap_100110
Sandstone Slab,mcl_stairs:slab_sandstone_top
Sandstone Slab,mcl_stairs:slab_sandstone_double
A place to plant grain crops,mcl_villages:crop_grain_4
nil,mcl_mushrooms:red_mushroom_block_cap_100111
nil,mcl_chests:trapped_chest_on_left
Jungle Trapdoor,mcl_doors:trapdoor_jungle
nil,mcl_chests:trapped_chest_on_right
Melon Seeds,mcl_farming:melon_seeds
nil,mcl_mushrooms:red_mushroom_block_cap_101001
Pumpkin Pie,mcl_farming:pumpkin_pie
Beehive,mcl_beehives:beehive_2
nil,mcl_mushrooms:red_mushroom_block_cap_101010
Smooth Sandstone Stairs,mcl_stairs:stair_sandstonesmooth2
nil,mcl_panes:pane_black
Smooth Sandstone Stairs,mcl_stairs:stair_sandstonesmooth2_outer
Smooth Sandstone Stairs,mcl_stairs:stair_sandstonesmooth2_inner
Jack o'Lantern,mcl_farming:pumpkin_face_light
nil,mcl_doors:trapdoor_jungle_open
nil,mcl_mushrooms:red_mushroom_block_cap_101100
Bee Nest,mcl_beehives:bee_nest_1
Jungle Door,mcl_doors:door_jungle
nil,mcl_mushrooms:red_mushroom_block_cap_101101
Smooth Sandstone Slab,mcl_stairs:slab_sandstonesmooth2_top
Smooth Sandstone Slab,mcl_stairs:slab_sandstonesmooth2_double
nil,mcl_mushrooms:red_mushroom_block_cap_101110
Mourner Pottery Sherd,mcl_pottery_sherds:mourner
Premature Carrot Plant (Stage 7),mcl_farming:carrot_7
Premature Carrot Plant (Stage 6),mcl_farming:carrot_6
nil,mcl_mushrooms:red_mushroom_block_cap_101111
Preview Banner,mcl_banners:banner_preview_straight_cross_cyan
Skull Pottery Sherd,mcl_pottery_sherds:skull
nil,mcl_mushrooms:red_mushroom_block_cap_110000
Jungle Bark Stairs,mcl_stairs:stair_jungle_bark
nil,mcl_mushrooms:red_mushroom_block_cap_110001
Cut Sandstone Stairs,mcl_stairs:stair_sandstonesmooth
Jungle Bark Stairs,mcl_stairs:stair_jungle_bark_inner
Cut Sandstone Stairs,mcl_stairs:stair_sandstonesmooth_outer
Cut Sandstone Stairs,mcl_stairs:stair_sandstonesmooth_inner
Blackstone Wall,mcl_blackstone:wall_2
nil,mcl_mushrooms:red_mushroom_block_cap_110011
Shelter Pottery Sherd,mcl_pottery_sherds:shelter
Preview Banner,mcl_banners:banner_preview_stripe_center_cyan
nil,mcl_mushrooms:red_mushroom_block_cap_110100
Jungle Slab,mcl_stairs:slab_jungle
nil,mcl_mushrooms:red_mushroom_block_cap_110101
Cut Sandstone Slab,mcl_stairs:slab_sandstonesmooth_double
Blackstone Wall,mcl_blackstone:wall_6
nil,mcl_mushrooms:red_mushroom_block_cap_110110
Purple Banner,mcl_banners:banner_item_purple
Yellow Banner,mcl_banners:banner_item_yellow
Pink Banner,mcl_banners:banner_item_pink
nil,mcl_mushrooms:red_mushroom_block_cap_110111
Brown Banner,mcl_banners:banner_item_brown
Light Blue Banner,mcl_banners:banner_item_light_blue
nil,mcl_mushrooms:red_mushroom_block_cap_111000
Emerald,mcl_core:emerald
Red Sandstone Stairs,mcl_stairs:stair_redsandstone
Red Banner,mcl_banners:banner_item_red
Red Sandstone Stairs,mcl_stairs:stair_redsandstone_outer
Red Sandstone Stairs,mcl_stairs:stair_redsandstone_inner
Jungle Bark Slab,mcl_stairs:slab_jungle_bark_double
nil,mcl_mushrooms:red_mushroom_block_cap_111011
Quartz Stairs,mcl_stairs:stair_quartzblock
Cracked Stone Bricks,mcl_core:stonebrickcracked
Chiseled Stone Bricks,mcl_core:stonebrickcarved
Red Sandstone Slab,mcl_stairs:slab_redsandstone
Red Sandstone Slab,mcl_stairs:slab_redsandstone_top
Red Sandstone Slab,mcl_stairs:slab_redsandstone_double
Glowstone Dust,mcl_nether:glowstone_dust
nil,mcl_mushrooms:red_mushroom_block_cap_111110
nil,mcl_farming:pumpkintige_linked_r
Quartz Slab,mcl_stairs:slab_quartzblock
Jungle Sign,mcl_signs:wall_sign_jungle
Granite,mcl_core:granite
Mature Pumpkin Stem,mcl_farming:pumpkintige_unconnect
Preview Banner,mcl_banners:banner_preview_bricks_green
Netherite Block,mcl_nether:netheriteblock
Polished Granite,mcl_core:granite_smooth
Smooth Red Sandstone Stairs,mcl_stairs:stair_redsandstonesmooth2
Huge Brown Mushroom All-Faces Stem,mcl_mushrooms:brown_mushroom_block_stem_full
Smooth Red Sandstone Stairs,mcl_stairs:stair_redsandstonesmooth2_outer
Smooth Red Sandstone Stairs,mcl_stairs:stair_redsandstonesmooth2_inner
Premature Pumpkin Stem (Stage 7),mcl_farming:pumpkin_7
Huge Brown Mushroom Block,mcl_mushrooms:brown_mushroom_block_cap_111111
nil,mcl_mushrooms:brown_mushroom_block_cap_000000
Powered Redstone Trail (11110001),mesecons:wire_11110001_on
Redstone Trail (11110001),mesecons:wire_11110001_off
Smooth Red Sandstone Slab,mcl_stairs:slab_redsandstonesmooth2
Smooth Red Sandstone Slab,mcl_stairs:slab_redsandstonesmooth2_top
Smooth Red Sandstone Slab,mcl_stairs:slab_redsandstonesmooth2_double
Preview Banner,mcl_banners:banner_preview_triangles_bottom_lime
nil,mcl_mushrooms:brown_mushroom_block_cap_000011
Premature Pumpkin Stem (Stage 6),mcl_farming:pumpkin_6
nil,mesecons_button:button_jungle_on
Smooth Quartz Slab,mcl_stairs:slab_quartz_smooth_top
Smooth Quartz Slab,mcl_stairs:slab_quartz_smooth_double
Powered Redstone Trail (10011001),mesecons:wire_10011001_on
nil,mcl_mushrooms:brown_mushroom_block_cap_000110
Jungle Sapling Flower Pot,mcl_flowerpots:flower_pot_sapling_jungle
nil,mcl_mushrooms:brown_mushroom_block_cap_000111
Cut Red Sandstone Stairs,mcl_stairs:stair_redsandstonesmooth
nil,mcl_mushrooms:brown_mushroom_block_cap_001000
Cut Red Sandstone Stairs,mcl_stairs:stair_redsandstonesmooth_outer
Cut Red Sandstone Stairs,mcl_stairs:stair_redsandstonesmooth_inner
Premature Pumpkin Stem (Stage 5),mcl_farming:pumpkin_5
nil,mcl_mushrooms:brown_mushroom_block_cap_001010
Premature Pumpkin Stem (Stage 4),mcl_farming:pumpkin_4
Powered Redstone Trail (11011001),mesecons:wire_11011001_on
Iron Bars,mcl_panes:bar_flat
Cut Red Sandstone Slab,mcl_stairs:slab_redsandstonesmooth
Cut Red Sandstone Slab,mcl_stairs:slab_redsandstonesmooth_top
Cut Red Sandstone Slab,mcl_stairs:slab_redsandstonesmooth_double
Jungle Chest Boat,mcl_boats:boat_jungle_chest
nil,mcl_mushrooms:brown_mushroom_block_cap_001110
Preview Banner,mcl_banners:banner_preview_guster_lime
nil,mcl_mushrooms:brown_mushroom_block_cap_001111
Premature Pumpkin Stem (Stage 3),mcl_farming:pumpkin_3
nil,mcl_mushrooms:brown_mushroom_block_cap_010000
Powered Redstone Trail (10111001),mesecons:wire_10111001_on
nil,mcl_mushrooms:brown_mushroom_block_cap_010001
Preview Banner,mcl_banners:banner_preview_flow_lime
Premature Pumpkin Stem (Stage 2),mcl_farming:pumpkin_2
Stone Brick Stairs,mcl_stairs:stair_stonebrick
Smooth Quartz,mcl_nether:quartz_smooth
Stone Brick Stairs,mcl_stairs:stair_stonebrick_outer
nil,mcl_panes:bar
Preview Banner,mcl_banners:banner_preview_half_vertical_right_light_blue
Cyan Shulker Box,mcl_chests:cyan_shulker_box
Pillar Quartz Block,mcl_nether:quartz_pillar
Powered Redstone Trail (11111001),mesecons:wire_11111001_on
Redstone Trail (11111001),mesecons:wire_11111001_off
Stone Brick Slab,mcl_stairs:slab_stonebrick
Stone Brick Slab,mcl_stairs:slab_stonebrick_top
Stone Brick Slab,mcl_stairs:slab_stonebrick_double
Hay Bale,mcl_farming:hay_block
Premature Wheat Plant (Stage 6),mcl_farming:wheat_6
Preview Banner,mcl_banners:banner_preview_border_red
Preview Banner,mcl_banners:banner_preview_bricks_magenta
Premature Wheat Plant (Stage 1),mcl_farming:wheat_1
Wheat Seeds,mcl_farming:wheat_seeds
Powered Redstone Trail (01010101),mesecons:wire_01010101_on
Redstone Trail (01010101),mesecons:wire_01010101_off
Preview Banner,mcl_banners:banner_preview_bricks_red
Polished Andesite Stairs,mcl_stairs:stair_andesite_smooth
Smooth Sandstone,mcl_core:sandstonesmooth2
Cut Sandstone,mcl_core:sandstonesmooth
Polished Andesite Stairs,mcl_stairs:stair_andesite_smooth_inner
Sheep,mobs_mc:sheep
Spruce Planks,mcl_trees:wood_spruce
Chiseled Sandstone,mcl_core:sandstonecarved
nil,mcl_panes:pane_natural
Powered Redstone Trail (11010101),mesecons:wire_11010101_on
Redstone Trail (11010101),mesecons:wire_11010101_off
Spruce Wood,mcl_trees:bark_stripped_spruce
Spruce Bark,mcl_trees:bark_spruce
Polished Andesite Slab,mcl_stairs:slab_andesite_smooth_double
Netherite Hoe,mcl_farming:hoe_netherite
Diamond Hoe,mcl_farming:hoe_diamond
Iron Hoe,mcl_farming:hoe_iron
White Glass Pane,mcl_panes:pane_white_flat
Preview Banner,mcl_banners:banner_preview_cross_red
Preview Banner,mcl_banners:banner_preview_curly_border_magenta
Powered Redstone Trail (01110101),mesecons:wire_01110101_on
Redstone Trail (01110101),mesecons:wire_01110101_off
Piglin,mobs_mc:piglin
Smooth Red Sandstone,mcl_core:redsandstonesmooth2
Cut Red Sandstone,mcl_core:redsandstonesmooth
Preview Banner,mcl_banners:banner_preview_diagonal_up_left_magenta
Wood Hoe,mcl_farming:hoe_wood
Hydrated Farmland,mcl_farming:soil_wet
Chiseled Red Sandstone,mcl_core:redsandstonecarved
Infested Chiseled Stone Bricks,mcl_monster_eggs:monster_egg_stonebrickcarved
Preview Banner,mcl_banners:banner_preview_diagonal_up_left_red
Powered Redstone Trail (11110101),mesecons:wire_11110101_on
Redstone Trail (11110101),mesecons:wire_11110101_off
Nether Wart,mcl_nether:nether_wart_item
Nether Brick Slab,mcl_stairs:slab_nether_brick
Infested Cracked Stone Bricks,mcl_monster_eggs:monster_egg_stonebrickcracked
Spruce Leaves,mcl_trees:leaves_spruce_orphan
Preview Banner,mcl_banners:banner_preview_diagonal_right_magenta
Brick Block,mcl_core:brick_block
Infested Cobblestone,mcl_monster_eggs:monster_egg_cobble
Infested Stone,mcl_monster_eggs:monster_egg_stone
Wandering Trader,mobs_mc:wandering_trader
Powered Redstone Trail (11011101),mesecons:wire_11011101_on
Redstone Trail (11011101),mesecons:wire_11011101_off
Preview Banner,mcl_banners:banner_preview_half_horizontal_bottom_cyan
of Healing,mcl_potions:healing_arrow
of Harming,mcl_potions:harming_arrow
of Night Vision,mcl_potions:night_vision_arrow
Preview Banner,mcl_banners:banner_preview_diagonal_left_red
Spruce Fence Gate,mcl_fences:spruce_fence_gate
nil,mcl_fences:spruce_fence_gate_open
of Regeneration,mcl_potions:regeneration_arrow
Block of Coal,mcl_core:coalblock
Powered Redstone Trail (11111101),mesecons:wire_11111101_on
Redstone Trail (11111101),mesecons:wire_11111101_off
Spruce Door,mcl_doors:door_spruce
Preview Banner,mcl_banners:banner_preview_square_top_right_red
Preview Banner,mcl_banners:banner_preview_stripe_center_magenta
Magma Cube,mobs_mc:magma_cube_big
Preview Banner,mcl_banners:banner_preview_stripe_middle_white
Preview Banner,mcl_banners:banner_preview_gradient_red
Preview Banner,mcl_banners:banner_preview_gradient_up_magenta
Block of Diamond,mcl_core:diamondblock
Husk,mobs_mc:husk
Powered Redstone Trail (00110011),mesecons:wire_00110011_on
Redstone Trail (00110011),mesecons:wire_00110011_off
Lapis Lazuli Block,mcl_core:lapisblock
Preview Banner,mcl_banners:banner_preview_half_horizontal_bottom_magenta
nil,mcl_doors:door_spruce_b_1
Squid,mobs_mc:squid
Blaze,mobs_mc:blaze
Tropical fish,mobs_mc:tropical_fish
Axolotl,mobs_mc:axolotl
nil,mcl_doors:door_spruce_t_1
Preview Banner,mcl_banners:banner_preview_half_horizontal_red
Sweet Berry,mcl_farming:sweet_berry
Preview Banner,mcl_banners:banner_preview_square_top_left_silver
Compass,mcl_compass:1
Compass,mcl_compass:2
Preview Banner,mcl_banners:banner_preview_half_vertical_magenta
Preview Banner,mcl_banners:banner_preview_half_vertical_red
Compass,mcl_compass:5
Preview Banner,mcl_banners:banner_preview_square_top_right_silver
Stone Hoe,mcl_farming:hoe_stone
Compass,mcl_compass:8
Preview Banner,mcl_banners:banner_preview_half_vertical_right_magenta
Preview Banner,mcl_banners:banner_preview_half_vertical_right_red
Endermite,mobs_mc:endermite
Preview Banner,mcl_banners:banner_preview_straight_cross_silver
Chicken,mobs_mc:chicken
Compass,mcl_compass:12
Preview Banner,mcl_banners:banner_preview_thing_magenta
Preview Banner,mcl_banners:banner_preview_thing_red
Compass,mcl_compass:13
Preview Banner,mcl_banners:banner_preview_stripe_bottom_silver
Skeleton,mobs_mc:skeleton
Compass,mcl_compass:15
Wither Skeleton,mobs_mc:witherskeleton
Preview Banner,mcl_banners:banner_preview_rhombus_red
Pillager,mobs_mc:pillager
Preview Banner,mcl_banners:banner_preview_stripe_center_silver
Polar Bear,mobs_mc:polar_bear
Salmon,mobs_mc:salmon
Compass,mcl_compass:19
Preview Banner,mcl_banners:banner_preview_skull_red
Compass,mcl_compass:20
Snow,mcl_core:snowblock
Compass,mcl_compass:21
Cow,mobs_mc:cow
Compass,mcl_compass:22
Preview Banner,mcl_banners:banner_preview_small_stripes_red
Compass,mcl_compass:23
Preview Banner,mcl_banners:banner_preview_stripe_downright_silver
Compass,mcl_compass:24
Horse,mobs_mc:horse
Compass,mcl_compass:25
Preview Banner,mcl_banners:banner_preview_square_bottom_left_red
Compass,mcl_compass:26
Preview Banner,mcl_banners:banner_preview_stripe_left_silver
Compass,mcl_compass:27
Black Shulker Box,mcl_chests:black_shulker_box
Premature Carrot Plant (Stage 5),mcl_farming:carrot_5
Preview Banner,mcl_banners:banner_preview_square_bottom_right_red
Grey Shulker Box,mcl_chests:dark_grey_shulker_box
Preview Banner,mcl_banners:banner_preview_stripe_middle_silver
Enderman,mobs_mc:enderman
Music Disc,mcl_jukebox:record_13
Compass,mcl_compass:31
Preview Banner,mcl_banners:banner_preview_square_top_left_red
Lodestone Compass,mcl_compass:0_lodestone
Preview Banner,mcl_banners:banner_preview_stripe_right_silver
Blue Shulker Box,mcl_chests:blue_shulker_box
Lodestone Compass,mcl_compass:1_lodestone
water logged mangrove roots,mcl_mangrove:water_logged_roots
Lime Shulker Box,mcl_chests:green_shulker_box
Lodestone Compass,mcl_compass:2_lodestone
Preview Banner,mcl_banners:banner_preview_stripe_top_silver
Magenta Shulker Box,mcl_chests:magenta_shulker_box
Lodestone Compass,mcl_compass:3_lodestone
nil,mcl_mangrove:propagule_clay
Brown Shulker Box,mcl_chests:brown_shulker_box
Lodestone Compass,mcl_compass:4_lodestone
Preview Banner,mcl_banners:banner_preview_triangle_bottom_silver
Oak Stairs,mcl_stairs:stair_oak
Huge Red Mushroom All-Faces Stem,mcl_mushrooms:red_mushroom_block_stem_full
Oak Stairs,mcl_stairs:stair_oak_outer
Oak Stairs,mcl_stairs:stair_oak_inner
Lodestone Compass,mcl_compass:6_lodestone
Preview Banner,mcl_banners:banner_preview_triangle_top_silver
Yellow Shulker Box,mcl_chests:yellow_shulker_box
Lodestone Compass,mcl_compass:7_lodestone
Mangrove Chest Boat,mcl_boats:boat_mangrove_chest
Green Shulker Box,mcl_chests:dark_green_shulker_box
Oak Bark Stairs,mcl_stairs:stair_oak_bark
Preview Banner,mcl_banners:banner_preview_triangles_bottom_silver
Oak Bark Stairs,mcl_stairs:stair_oak_bark_outer
Preview Banner,mcl_banners:banner_preview_piglin_purple
Mangrove Boat,mcl_boats:boat_mangrove
Huge Red Mushroom Stem,mcl_mushrooms:red_mushroom_block_stem
Lodestone Compass,mcl_compass:10_lodestone
Preview Banner,mcl_banners:banner_preview_triangles_top_silver
Light Blue Shulker Box,mcl_chests:lightblue_shulker_box
Huge Red Mushroom Block,mcl_mushrooms:red_mushroom_block_cap_111111
Preview Banner,mcl_banners:banner_preview_guster_purple
Oak Slab,mcl_stairs:slab_oak
Oak Slab,mcl_stairs:slab_oak_top
Oak Slab,mcl_stairs:slab_oak_double
Mangrove Button,mesecons_button:button_mangrove_off
Lodestone Compass,mcl_compass:13_lodestone
Cherry Log,mcl_trees:tree_cherry_blossom
Preview Banner,mcl_banners:banner_preview_flow_purple
Lodestone Compass,mcl_compass:14_lodestone
Preview Banner,mcl_banners:banner_preview_piglin_silver
Mangrove Sign,mcl_signs:standing_sign_mangrove
Lodestone Compass,mcl_compass:15_lodestone
Mangrove Bark Slab,mcl_stairs:slab_mangrove_bark_top
Mossy Stone Brick Slab,mcl_stairs:slab_stonebrickmossy
nil,mcl_mushrooms:red_mushroom_block_cap_000010
Block of Copper,mcl_copper:block
Oak Bark Slab,mcl_stairs:slab_oak_bark
Oak Bark Slab,mcl_stairs:slab_oak_bark_top
Preview Banner,mcl_banners:banner_preview_border_yellow
Mangrove Slab,mcl_stairs:slab_mangrove_double
Nether Brick Stairs,mcl_stairs:stair_nether_brick_outer
nil,mcl_mushrooms:red_mushroom_block_cap_000011
Birch Door,mcl_doors:door_birch
Lodestone Compass,mcl_compass:19_lodestone
Preview Banner,mcl_banners:banner_preview_bricks_yellow
Mangrove Slab,mcl_stairs:slab_mangrove
Lodestone Compass,mcl_compass:20_lodestone
nil,mcl_mushrooms:red_mushroom_block_cap_000100
Nether Brick Slab,mcl_stairs:slab_nether_brick_double
Lodestone Compass,mcl_compass:21_lodestone
Preview Banner,mcl_banners:banner_preview_circle_yellow
Mangrove Bark Stairs,mcl_stairs:stair_mangrove_bark
Preview Banner,mcl_banners:banner_preview_border_orange Copper Trapdoor,mcl_copper:trapdoor
Exposed Copper Trapdoor,mcl_copper:trapdoor_exposed
Weathered Copper Trapdoor,mcl_copper:trapdoor_weathered
Preview Banner,mcl_banners:banner_preview_creeper_yellow
Mangrove Stairs,mcl_stairs:stair_mangrove_inner
Preview Banner,mcl_banners:banner_preview_bricks_orange
nil,mcl_mushrooms:red_mushroom_block_cap_000110
Polished Granite Stairs,mcl_stairs:stair_granite_smooth
nil,mcl_doors:door_birch_t_1
Preview Banner,mcl_banners:banner_preview_cross_yellow
Polished Andesite Slab,mcl_stairs:slab_andesite_smooth_top
nil,mcl_doors:door_birch_b_2
nil,mcl_mushrooms:red_mushroom_block_cap_000111
Oak Pressure Plate,mesecons_pressureplates:pressure_plate_oak_off
nil,mcl_doors:door_birch_t_2
Preview Banner,mcl_banners:banner_preview_curly_border_yellow
